alpha,gamma,phi_wall,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
2.1550696,0.4349811,4.3631467,1.80381,1.76316,1.721114,1.682498,1.645533,1.610304,1.577266,1.545503,1.516045,1.48779,1.461293,1.43615,1.412342,1.389937,1.368539,1.348525,1.329398,1.31134,1.294194,1.277866
7.4849514,0.9811631,4.7826744,2.759512,2.650171,2.521386,2.409776,2.300641,2.200414,2.106825,2.021057,1.943159,1.871935,1.808402,1.750274,1.699809,1.652127,1.610205,1.571662,1.537247,1.506971,1.477868,1.451103
4.6777421,0.3542883,6.8040495,3.076932,3.038834,2.997709,2.958449,2.919548,2.880833,2.843152,2.805523,2.768851,2.732552,2.696886,2.661963,2.62747,2.593985,2.560967,2.5288,2.499112,2.468236,2.438287,2.408942
4.4393212,0.8657348,6.9982688,3.407023,3.314786,3.207112,3.109266,3.010454,2.91735,2.82549,2.739234,2.655842,2.577814,2.502872,2.433757,2.368032,2.307696,2.25085,2.198685,2.14986,2.106294,2.063731,2.024887
9.073977,0.3059573,7.459927,3.434739,3.399633,3.361783,3.325441,3.28934,3.253189,3.217882,3.18245,3.147651,3.113071,3.078817,3.045112,3.011586,2.978755,2.946204,2.914167,2.882643,2.851498,2.821057,2.790994
2.8761772,0.7003275,9.5504277,3.975819,3.903499,3.822206,3.745842,3.669019,3.593732,3.519418,3.446198,3.374746,3.304339,3.236298,3.169393,3.105337,3.042748,2.982962,2.925097,2.869959,2.817304,2.767885,2.719532
6.930066,0.6241968,8.2781791,3.785227,3.71583,3.638124,3.565152,3.491918,3.420183,3.349563,3.280006,3.212316,3.14562,3.081342,3.018195,2.957734,2.898782,2.842404,2.787955,2.737025,2.687247,2.639525,2.594189
5.6054512,0.8536892,4.597609,2.478386,2.386224,2.281326,2.190122,2.100438,2.019521,1.942301,1.872739,1.807664,1.749235,1.695177,1.64667,1.601982,1.56253,1.52595,1.49223,1.46114,1.433108,1.407023,1.383258
4.8082682,0.800746,2.7990432,1.3876,1.301457,1.208264,1.132902,1.06329,1.005503,0.953836,0.911115,0.87355,0.842242,0.814882,0.791606,0.77122,0.756658,0.740738,0.72609,0.713296,0.701626,0.691052,0.68135
9.5520377,0.8570434,7.2246455,3.728744,3.631382,3.516721,3.412208,3.305931,3.205343,3.105295,3.010882,2.918435,2.831806,2.748694,2.670913,2.596858,2.528284,2.463824,2.404189,2.348675,2.297386,2.250325,2.205665
7.5233497,0.7497529,1.2336011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.9758634,0.5826732,5.2942729,2.72974,2.666056,2.595412,2.530073,2.466139,2.404727,2.345457,2.288298,2.233864,2.181416,2.131999,2.084438,2.040019,1.997459,1.957655,1.919807,1.884314,1.85077,1.819202,1.789504
5.7712863,0.3337449,5.7175343,2.743643,2.707723,2.669083,2.632307,2.596004,2.560007,2.525568,2.491429,2.457818,2.424697,2.392235,2.360589,2.329411,2.299275,2.26965,2.240869,2.212815,2.185444,2.15896,2.133075
2.4923456,0.6045085,4.818827,2.144783,2.084852,2.020794,1.963003,1.907117,1.85471,1.805172,1.758545,1.715065,1.674037,1.636133,1.600245,1.567305,1.536159,1.507352,1.480288,1.455053,1.431465,1.409286,1.388637
7.1349374,0.6377773,8.9930416,4.010783,3.939839,3.860265,3.78541,3.710133,3.636233,3.563293,3.491264,3.420945,3.351459,3.284246,3.21801,3.154349,3.092074,3.032297,2.974384,2.918903,2.865603,2.814639,2.767149
2.8179614,0.3151369,3.1370335,1.193211,1.165528,1.137987,1.112667,1.089003,1.066679,1.046207,1.026749,1.008776,0.991787,0.975814,0.960833,0.946552,0.933208,0.920454,0.908378,0.896908,0.885926,0.875552,0.865586
2.219342,0.690778,9.5968359,3.91129,3.84106,3.762346,3.688346,3.613996,3.541079,3.4692,3.398315,3.329233,3.261085,3.195312,3.130621,3.068609,3.008076,2.950136,2.894123,2.840614,2.789637,2.741525,2.694629
3.8066016,0.3632191,1.0436892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.4819925,0.9254608,4.9438916,2.887796,2.789615,2.658154,2.550252,2.443201,2.344482,2.250583,2.16416,2.084085,2.010672,1.943894,1.882701,1.827659,1.778057,1.732413,1.6905,1.652979,1.618286,1.588637,1.558687
4.9974398,0.9839239,3.618894,1.972271,1.868222,1.749389,1.650628,1.559088,1.479212,1.408503,1.346914,1.293432,1.246764,1.207624,1.171966,1.14056,1.112882,1.088194,1.06616,1.046041,1.027953,1.011198,0.995845
4.163052,0.6809978,4.5853282,2.271678,2.200837,2.123614,2.054706,1.987685,1.925577,1.866593,1.811923,1.760751,1.713342,1.669395,1.628621,1.591065,1.556095,1.524016,1.493981,1.4665,1.44069,1.418783,1.39668
6.8868781,0.5551779,1.9765769,0.938614,0.877915,0.816906,0.766028,0.720548,0.681809,0.648435,0.619881,0.595787,0.574887,0.557385,0.541999,0.528777,0.517087,0.506684,0.49741,0.488909,0.481224,0.474121,0.467553
7.9459401,0.6266021,6.8076997,3.356278,3.285872,3.206856,3.133304,3.059758,2.988461,2.918641,2.850688,2.785008,2.721146,2.66009,2.601774,2.545654,2.491387,2.440342,2.391317,2.345252,2.301308,2.260027,2.220837
2.7251737,0.9208426,6.6980744,3.156472,3.062158,2.951463,2.852206,2.752367,2.65965,2.569082,2.485357,2.404835,2.330715,2.260619,2.196374,2.136358,2.081406,2.030475,1.984034,1.941389,1.901448,1.864704,1.830779
8.4010441,0.6581567,2.9156192,1.662939,1.593379,1.519049,1.455287,1.395116,1.341713,1.292627,1.248925,1.209305,1.173802,1.141834,1.112881,1.086878,1.063012,1.041588,1.021753,1.003721,0.987024,0.976357,0.961253
3.1699983,0.822132,5.8547798,2.806929,2.722341,2.623852,2.537179,2.451204,2.371238,2.293742,2.222054,2.153622,2.090781,2.031418,1.977208,1.92633,1.879988,1.836638,1.797124,1.761764,1.727394,1.695652,1.666563
4.1017698,0.8024045,3.3864886,1.669461,1.585994,1.494634,1.418845,1.347421,1.286351,1.23039,1.182595,1.139399,1.102279,1.068908,1.039824,1.013683,0.992942,0.971885,0.95246,0.935146,0.919235,0.904833,0.891465
9.109394,0.7326818,6.6277095,3.406027,3.322901,3.227568,3.139966,3.051876,2.967734,2.884975,2.805889,2.729216,2.656706,2.587035,2.52093,2.458202,2.399252,2.34369,2.291739,2.242972,2.197516,2.154912,2.115241
6.0687766,0.6374933,4.2585418,2.244333,2.176328,2.102589,2.036456,1.97217,1.91227,1.855396,1.802342,1.752687,1.706357,1.663421,1.623295,1.586359,1.551717,1.519977,1.49013,1.462724,1.436994,1.413161,1.39175
3.9392433,0.5582626,6.1842168,2.883505,2.824806,2.760087,2.69982,2.640163,2.582321,2.526457,2.472269,2.420097,2.369112,2.320811,2.273906,2.229376,2.186584,2.14589,2.107118,2.070174,2.03522,2.001828,1.97041
8.7390133,0.8995321,7.5531148,3.850841,3.749675,3.62967,3.520427,3.40899,3.303574,3.198632,3.099309,3.002277,2.910987,2.823735,2.741773,2.664164,2.59198,2.524626,2.461976,2.404177,2.351622,2.301407,2.254927
5.9493154,0.8286946,2.7495327,1.469649,1.38031,1.282576,1.203663,1.130622,1.069497,1.014934,0.969493,0.929385,0.896015,0.86658,0.841614,0.824162,0.802965,0.785395,0.769845,0.75604,0.74341,0.731988,0.721439
8.6196141,0.4752684,6.1620894,3.071861,3.018192,2.95936,2.903993,2.849053,2.795162,2.742732,2.690951,2.641154,2.592092,2.545654,2.500005,2.455517,2.412581,2.371033,2.33128,2.292752,2.256165,2.220808,2.187146
6.9911923,0.3293003,9.0088164,3.827759,3.79084,3.750962,3.712622,3.674458,3.636169,3.598683,3.560985,3.52387,3.486897,3.450183,3.413955,3.377827,3.342343,3.307063,3.272238,3.237866,3.203811,3.170414,3.137338
9.8019223,0.6570462,8.1951805,3.875924,3.800679,3.715673,3.636166,3.556132,3.478065,3.400993,3.325458,3.251768,3.179593,3.10989,3.041812,2.976692,2.913324,2.853248,2.795164,2.741296,2.68828,2.638443,2.590868
6.5562189,0.7385891,3.3617711,1.84511,1.767181,1.682083,1.609509,1.540343,1.479376,1.422797,1.372957,1.327349,1.287041,1.250408,1.217751,1.188145,1.161416,1.13719,1.117354,1.09685,1.077847,1.060666,1.044693
4.5249076,0.459337,2.1042373,0.797445,0.747597,0.698708,0.657082,0.6201,0.588068,0.560615,0.53663,0.516466,0.498722,0.48359,0.470273,0.458556,0.448214,0.43886,0.430568,0.42299,0.416103,0.409825,0.404009
7.3547478,0.8684094,9.4373149,4.351968,4.256374,4.144644,4.041331,3.935902,3.834281,3.732585,3.634385,3.537333,3.444062,3.352884,3.265973,3.18185,3.102455,3.026215,2.955389,2.887565,2.824379,2.764507,2.70895
5.1975752,0.5061731,5.7908386,2.799615,2.745278,2.685734,2.630123,2.575181,2.522061,2.470639,2.420108,2.371844,2.324593,2.279572,2.235893,2.19415,2.154068,2.115671,2.079119,2.044018,2.010846,1.978973,1.948892
4.4946842,0.5031476,5.3260508,2.563751,2.510325,2.453451,2.400435,2.348451,2.297966,2.249431,2.202082,2.157116,2.113326,2.071853,2.031804,1.993721,1.957315,1.922572,1.889632,1.858083,1.828373,1.799896,1.773053
6.0858147,0.8986362,5.1155981,2.778845,2.680131,2.566125,2.466312,2.367306,2.276642,2.189718,2.110257,2.035828,1.968073,1.905588,1.848786,1.796867,1.749883,1.707443,1.667813,1.631798,1.598826,1.568583,1.5414
2.8803038,0.4164406,6.0038147,2.659039,2.616166,2.571047,2.528301,2.486318,2.444885,2.404913,2.36535,2.32733,2.289998,2.253861,2.218796,2.184689,2.151906,2.11996,2.089382,2.059712,2.031189,2.003724,1.977212
7.7211041,0.9931621,8.7113803,4.280943,4.171359,4.039396,3.919247,3.796165,3.678416,3.561209,3.448915,3.339272,3.23481,3.134686,3.039933,2.951103,2.867156,2.789432,2.716284,2.649511,2.588129,2.530063,2.476813
3.0070634,0.6998153,6.785967,3.091189,3.018739,2.937138,2.861943,2.787011,2.715223,2.64527,2.578486,2.514198,2.452383,2.393694,2.337594,2.284818,2.234531,2.187559,2.142883,2.101359,2.061877,2.025292,1.990541
7.5518531,0.5024322,7.5974865,3.524481,3.467943,3.405714,3.34685,3.288134,3.230192,3.173466,3.117092,3.062485,3.00834,2.955861,2.90432,2.854219,2.805512,2.758097,2.712418,2.667912,2.626193,2.585376,2.54569
4.6541404,0.6511418,7.367426,3.404828,3.334827,3.256317,3.183125,3.109909,3.038817,2.969159,2.901243,2.835558,2.771571,2.710353,2.650866,2.595484,2.540815,2.489306,2.439828,2.393242,2.348792,2.306955,2.267232
6.63334,0.5797744,5.3753038,2.74505,2.681933,2.611968,2.547171,2.483773,2.422787,2.36391,2.307043,2.252867,2.200581,2.151295,2.103801,2.059386,2.016811,1.976919,1.938984,1.903349,1.86967,1.837924,1.808062
